sno,district,mandal,village,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR
1,ADILABAD,Adilabad,Adilabad,0,220,60,0.44,42.27681818,46,49,4,48,38.896,279.9342105,1.273327902
2,ADILABAD,Bazarhatnur,Bazarhatnur,0,230,80,0.56,100.6590909,68,42,5,56,63.206,399.8930921,0.913165517
3,ADILABAD,Gudihatnoor,Gudihatnoor,0,200,30,0.66,41.47154545,44,45,2,24,38.896,219.9342105,1.319283964
4,ADILABAD,Jainath,Jainath,0,160,10,0.58,10.66986364,35,27,1,32,19.448,159.9671053,0.928155164
5,ADILABAD,Narnoor,Narnoor,0,300,340,2.56,128.8436364,280,298,5,56,92.378,519.84375,5.682664477
6,ADILABAD,Neradigonda,Neradigonda,0,340,60,0.61,66.435,43,73,22,80,34.034,339.9424342,1.72144176
7,ADILABAD,Talamadugu,Talamadugu,0,340,330,0.65,193.2654545,143,162,13,88,126.412,739.7861842,2.589608252
8,ADILABAD,Tamsi,Tamsi,30,210,40,1.8,144.9490909,70,85,5,48,43.758,299.9259868,2.133949028
9,ADILABAD,Utnoor,Utnoor,0,420,290,0.53,134.8831818,268,321,6,48,97.24,519.8355263,6.121307804
10,BHADRADRI,Annapureddypalli,Annapureddypalli,0,57.63929176,30,0.07,24.3595,4,10.20021285,3.2,24,9.724,99.98355263,0.443523991
11,BHADRADRI,Ashwapuram,Aswapuram,0,207.8719019,380,0.59,159.444,37,150.3975766,1.9,64,106.964,599.8190789,2.669948378
12,BHADRADRI,Bhadrachalam,Bhadrachalam,0,547.1956631,140,0.9,11.29395,13,190.9923317,6,24,72.93,359.8766447,4.377349903
13,BHADRADRI,Burgampad,M.Banjara,60,299.9504311,170,0.71,70.864,30,161.8440782,8,24,68.068,339.8848684,3.816832154
14,BHADRADRI,Chandrugonda,Ravikampadu,0,240.9818024,280,0.63,735.214,18,235.1246184,17,24,165.308,739.7203947,3.758689678
15,BHADRADRI,Dummugudem,Bandirevu,40,249.5312086,90,1.03,7.9722,7,72.64980488,0.77,40,43.758,279.9259868,1.887926173
16,BHADRADRI,Gundala,Kanchanapalli,0,114.2435835,60,0.29,219.2355,11,22.59306207,67.13,56,29.172,259.9506579,0.609258784
17,BHADRADRI,Julurpadu,P. Narsapuram,60,500.1277753,480,0.73,210.3775,18.25,326.4744644,19.5,32,155.584,719.7368421,5.290960448
18,BHADRADRI,Karakagudem,Karakagudem,0,177.4579446,40,1.11,0.4429,8,29.8891904,17.6,32,19.448,159.9671053,1.027474311
19,BHADRADRI,Laxmidevipalli,Laxmidevipalli,0,248.2682761,110,0.47,95.2235,19,81.68477438,9.8,72,34.034,319.9424342,1.985534124
20,BHADRADRI,Manuguru,Pagideru,40,142.3407799,30,0.47,0.8858,2.25,39.99707701,35.47,32,4.862,99.99177632,1.739074858
21,BHADRADRI,Palwancha,REGELLA,0,153.5363021,160,0.26,141.728,40,85.27975782,16.1,64,43.758,339.9259868,2.011064218
22,BHADRADRI,Tekulapalli,Bethampudi,0,208.1390606,360,0.49,335.2753,41.75,68.17983978,1.9,120,145.86,899.7532895,0.98824908
23,BHADRADRI,Tekulapalli,Mutyalampadu,40,352.8490341,130,0.98,57.35555,15.5,193.8426385,7.9,40,29.172,219.9506579,5.682753839
24,BHADRADRI,Yellandu,Komararam,60,242.0656571,110,1.5,18.136755,18,73.11603375,1.23,72,38.896,339.9342105,1.724198853
25,BHUPALPALLY,Ghanpur Mulug,Chelpur(D),0,110,20,0.27,3.422409091,57,27,2,24,19.448,139.9671053,0.992254181
26,BHUPALPALLY,Kataram,Shankarampally 125(D),0,110,40,0.36,22.145,14,16,4,24,24.31,159.9588816,0.550032013
27,BHUPALPALLY,Mahadevpur,Ambatipalli,0,110,30,0.14,29.99640909,14,22,3,32,14.586,139.9753289,0.808479657
28,BHUPALPALLY,Regonda,Regonda,0,260,190,1.04,121.3948636,88,156,1,48,63.206,379.8930921,3.479894391
29,HYDERABAD,Ameerpet,S.R.Nagar,0,274.9990597,60,1.56,37.42505,15,33.18059628,1.17,104,19.448,339.9671053,0.782416322
30,HYDERABAD,Asifnagar,Himayanagar,0,215.6713142,220,2.49,22.167145,24,164.4849717,2.1,72,9.724,219.9835526,4.821734384
31,HYDERABAD,Asifnagar,Kulsanapur,0,366.7292285,110,1.08,58.68425,21,101.9418385,16.74,96,29.172,359.9506579,2.336162993
32,HYDERABAD,Bandlaguda,Chandraingutta,0,398.6932882,170,0.841,52.7051,33,94.40207972,3.56,160,29.172,519.9506579,1.800000642
33,HYDERABAD,Charminar,Darul Shifa,0,275.0978692,60,0.794,10.164555,17,57.11590859,22.89,56,24.31,239.9588816,1.603100831
34,HYDERABAD,Maredpally,Maredpally(s),0,316.4927306,160,1.6,118.6972,43,80.16061447,1.7,168,24.31,519.9588816,1.528441078
35,HYDERABAD,Nampally,Nampally,40,346.3307385,120,1.23,38.31085,22,105.3718166,9.9,80,43.758,379.9259868,2.35042897
36,HYDERABAD,Saidabad,Juvinile home,0,227.687161,90,0.835,52.04075,18,78.69718452,9.89,64,19.448,239.9671053,2.20879547
37,JAGITYAL,Dharmapuri,Dharmapuri,0,140,520,0.55,39.45836364,248,282,10,88,77.792,539.8684211,5.276881116
38,JAGITYAL,Gollapalli,Gollapalli,0,100,150,0.91,63.21390909,73,85,6,24,48.62,259.9177632,2.292308735
39,JAGITYAL,Ibrahimpatnam,Ibrahimpatnam,0,190,110,1.53,77.30618182,148,135,7,40,38.896,259.9342105,3.640610452
40,JAGITYAL,Jagityal,Jagityal,0,100,100,0.27,45.09527273,68,92,1,24,19.448,139.9671053,3.381014248
41,JAGITYAL,Kathalapur,Kathalapur,0,180,140,0.91,41.67286364,124,107,6,64,34.034,299.9424342,2.686191595
42,JAGITYAL,Kodimal,Chepial,0,140,50,0.49,5.234272727,60,70,2,40,19.448,179.9671053,2.268682068
